Nr.,Articol,Clasa,Cod extern,Cod,Pret,UM,Stoc,PRODUCATOR,Data
crt.,,articol,,articol,vanzare,,curent,,adaugarii
1717,PARCHET EGGER 10MM EPL 177-1.7455MP,1,9007767520964,12419,76.20,M2,0.00,EGGER,15.02.2018
1718,PARCHET EGGER 10MM EPL028-1.7455MP/CUT,1,9007767520735,12396,71.70,M2,0.00,EGGER,13.02.2018
1719,PARCHET EGGER 10MM EPL064-1.7455MP/CUT,1,9007767520766,12399,75.40,M2,0.01,EGGER,13.02.2018
1720,PARCHET EGGER 10MM EPL085-1.7455MP/CUT,1,9007767520551,12378,73.50,M2,0.00,EGGER,13.02.2018
1721,PARCHET EGGER 10MM EPL138,1,9007767520797,12402,75.40,M2,0.00,EGGER,13.02.2018
1722,PARCHET EGGER 10MM EPL154,1,9007767520810,12404,78.30,M2,0.00,EGGER,13.02.2018
1723,PARCHET EGGER 12MM EPL015-H1002-1.4691MP,1,9007767520223,12344,74.76,M2,0.00,EGGER,12.02.2018
1724,PARCHET EGGER 12MM EPL046,1,9007767521046,12427,75.80,M2,0.00,EGGER,15.02.2018
1725,PARCHET EGGER 12MM EPL141 1.4961 MP,1,9007767521053,12428,89.60,M2,0.00,EGGER,15.02.2018
1726,PARCHET EGGER 12MM EPL143-H2848-1.4961MP,1,9007767521015,12424,84.00,M2,0.00,EGGER,15.02.2018
1727,PARCHET EGGER 12MM EPL179-1.4961MP,1,9007767521022,12425,99.00,M2,0.00,EGGER,15.02.2018
1728,PARCHET EGGER 12MM EPL190-1.4961 MP,1,9007767520346,12357,87.70,M2,0.00,EGGER,13.02.2018
1729,PARCHET EGGER 5MM EHD006 OAK WILD SAND,1,9007767526836,13340,43.50,M2,0.00,EGGER,16.04.2019
1730,PARCHET EGGER 7.5 MM EPD038,1,9007767525020,13071,119.70,M2,0.00,EGGER,28.11.2018
1731,PARCHET EGGER 8MM EL 2096 1.9948MP,1,9007767507392,10184,56.20,M2,0.00,EGGER,18.02.2015
1732,PARCHET EGGER 8MM EL 2111 1.9948MP,1,9007912546214,17031,70.70,M2,0.00,EGGER,18.06.2025
1733,PARCHET EGGER 8MM EPC021,1,9007767521084,12431,90.00,M2,0.00,EGGER,15.02.2018
1734,PARCHET EGGER 8MM EPL 178 AQUA-1.9948MP,1,9007767536767,14603,94.30,M2,0.00,EGGER,19.04.2021
